,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD51 band c,A,B,-,-,B,B,-,A,-,-,A,-,A,-,A,-,A,-,A,-,-,-,-,A,-,-,-,-,A,-,B,A,-,-,A,-,-,A,A,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,A,-,-,-,B,-,A,B,B,-,B,A,-,B,-,-,A,B,-,-,A,-,-,A,A,-,B,-,B,-,A,-,-,-,A,A,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,B,-,B,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,-,-,B,B,-,-,-,-,B,A,A,-,-,-,A,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A6734,A,B,-,A,-,B,-,A,-,-,-,-,-,-,A,-,-,-,A,-,-,-,-,A,-,-,-,-,-,A,B,A,-,-,A,-,-,-,A,-,-,-,A,-,-,-,A,-,B,-,-,B,-,B,A,-,-,-,B,-,-,B,B,-,B,-,-,B,-,-,-,B,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,B,-,-,-,-,-,-,A,-,-,-,A,-,B,-,-,-,-,-,B,B,-,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,A,-,-,A,-,-,B,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,A,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-
A6726,A,B,-,A,A,B,-,A,-,-,A,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,A,A,B,A,-,-,A,-,-,A,A,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,A,-,-,-,B,-,A,B,B,-,B,A,-,B,-,-,A,B,-,-,B,B,-,A,A,-,B,-,B,-,B,-,-,-,A,A,-,B,-,-,-,B,-,-,-,B,-,-,-,-,-,-,A,-,B,-,B,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,B,-,-,A,-,B,-,B,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A6730,A,B,-,A,A,B,-,A,-,-,A,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,A,A,B,A,-,-,A,-,-,A,A,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,A,-,-,-,B,-,A,A,B,-,B,A,-,B,-,-,A,B,-,-,A,B,-,A,A,-,B,-,B,-,B,-,-,-,A,A,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,B,-,B,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,B,-,-,A,-,B,-,B,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A6732,A,B,-,A,A,B,-,A,-,-,A,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,A,A,B,A,-,-,A,-,-,A,A,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,A,-,-,-,B,-,A,B,B,-,B,A,-,B,-,-,A,B,-,-,A,B,-,A,A,-,B,-,B,-,B,-,-,-,A,A,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,B,-,B,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,A,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,B,-,-,A,-,B,-,B,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A6733,A,B,-,-,A,B,-,A,-,-,-,-,-,-,-,-,A,-,-,A,-,-,-,-,-,-,-,-,A,A,B,A,-,-,A,-,-,-,-,-,-,-,A,-,-,-,-,-,B,-,-,B,-,B,-,-,-,-,B,-,-,B,B,-,B,-,-,B,-,-,A,B,-,-,A,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,B,-,-,-,-,-,-,A,-,-,-,A,-,B,-,-,-,-,-,B,B,-,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,A,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-
A6731,A,B,-,A,A,B,-,A,-,-,A,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,A,A,B,A,-,-,A,-,-,A,A,-,-,B,A,B,-,B,-,-,-,-,A,B,-,B,A,-,-,-,B,-,A,B,B,-,B,A,-,B,-,-,-,B,-,-,A,B,-,A,A,-,B,-,B,-,B,-,-,-,A,A,-,B,-,-,-,B,-,-,-,B,-,-,-,-,-,-,A,-,B,-,B,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,B,-,-,-,-,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A6737,A,B,-,A,-,-,-,A,-,-,A,-,A,-,-,-,A,-,A,A,-,-,-,A,-,-,-,-,A,A,B,A,-,-,A,-,-,A,A,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,-,-,-,-,B,-,-,-,B,-,B,A,-,B,-,-,A,B,-,-,A,B,-,A,A,-,B,-,B,-,B,-,-,-,A,A,-,B,-,-,-,B,-,-,-,B,-,-,B,-,-,-,A,-,-,-,-,-,-,-,B,B,-,A,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,B,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,B,-,-,-,-,B,-,A,-,-,-,-,-,-,-,-,-,A,-,-,-,-,B,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-
A6724,A,B,-,A,A,B,-,A,-,-,A,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,A,A,B,A,-,-,A,-,-,A,A,-,-,B,A,B,-,B,A,-,-,-,A,B,-,B,A,-,-,-,B,-,A,B,B,-,B,A,-,B,-,-,A,B,-,-,A,B,-,A,A,-,B,-,B,-,B,-,-,-,A,A,-,B,-,-,-,B,-,-,-,B,-,-,-,-,-,-,A,-,B,-,B,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,B,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A6729,A,B,-,A,-,B,-,A,-,-,A,-,-,-,A,-,A,-,A,A,-,-,-,-,-,-,-,-,-,A,B,A,-,-,A,-,-,A,-,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,A,-,-,-,B,-,A,-,B,-,B,-,-,B,-,-,A,B,-,-,A,B,-,A,A,-,B,-,B,-,B,-,-,-,A,-,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,-,-,B,-,B,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,-,-,-,B,B,-,B,B,-,-,-,-,B,-,-,-,-,-,B,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,-,-,B,-,-,A,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,B,-,B,-,-,-
A6738,A,B,-,A,-,-,-,A,-,-,A,-,A,-,A,-,A,-,A,A,-,-,-,-,-,-,-,-,A,A,B,A,-,-,A,-,-,A,A,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,A,-,-,-,B,-,-,-,B,-,B,-,-,B,-,-,-,B,-,-,A,B,-,A,-,-,B,-,B,-,B,-,-,-,-,B,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,-,-,-,-,-,-,-,-,B,B,-,A,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,A,-,-,-,-,-,-,-,-,B,B,-,-,-,-,B,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,B,-,-,-,-,B,-,A,-,-,-,A,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-
A6725,A,B,-,A,A,B,-,A,-,-,A,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,A,A,B,A,-,-,A,-,-,A,A,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,A,-,-,-,B,-,A,B,B,-,B,A,-,B,-,-,B,B,-,-,A,B,-,A,A,-,B,-,B,-,B,-,-,-,A,A,-,B,-,-,-,B,-,-,-,B,-,-,-,-,-,-,A,-,B,-,B,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,-,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A6728,A,B,-,A,A,B,-,A,-,-,A,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,A,A,B,A,-,-,A,-,-,A,A,-,-,B,A,B,-,B,A,-,B,-,A,B,-,B,A,-,-,-,B,-,A,-,B,-,B,A,-,B,-,-,A,B,-,-,A,B,-,A,A,-,B,-,B,-,B,-,-,-,A,-,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,-,-,B,-,B,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,A,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,-,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A004- second of three brighter bands on top. Reversed,-,-,-,A,A,A,-,A,-,-,-,-,A,-,A,-,A,-,A,A,-,-,-,A,-,-,-,-,B,A,A,A,-,-,A,-,-,B,B,-,-,B,-,B,-,B,A,-,B,-,A,B,-,B,A,-,-,-,-,-,A,-,B,-,B,A,-,A,-,-,A,B,-,-,A,A,-,A,A,-,B,-,B,-,B,-,-,-,-,-,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,B,-,-,-,-,-,B,B,-,-,-,B,-,-,A,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,-,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,A,-,-,-,A,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
A1623,A,B,-,A,-,A,-,-,-,-,B,-,A,-,-,-,A,-,A,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,A,-,-,-,B,-,-,B,-,B,-,B,A,-,B,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,B,-,-,B,-,-,-,B,-,-,-,-,-,A,-,-,B,-,B,-,-,-,-,-,-,B,-,A,-,-,-,A,-,-,-,B,-,-,A,-,-,-,A,-,B,-,-,-,-,-,B,B,-,A,-,B,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,B,-,B,B,-,-,-,-,B,A,-,-,-,-,B,-,A,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,-,-,-,A,-,-,A,-,B,-,-,-,-,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,B,-,-,-
